"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5","emphasizedKeywords/6","emphasizedKeywords/7","emphasizedKeywords/8","emphasizedKeywords/9"
"DE","DESKTOP","google.de",,,"1","5","Bauernverband erwartet stabile Milchpreise site:faz.net","SEARCH","http://www.google.de/search?q=Bauernverband+erwartet+stabile+Milchpreise+site%3Afaz.net&num=5","140",,"Die Milchpreise stiegen unter dem Druck des Ukrainekriegs 2022 stark an. Im abgelaufenen Jahr stabilisierten sie sich wieder.","https://www.faz.net › FAZ.NET › Wirtschaft","Milchpreise",,,,,"1","Bauernverband erwartet stabile Milchpreise","organic","https://www.faz.net/aktuell/wirtschaft/bauernverband-erwartet-stabile-milchpreise-19417911.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Bauernverband erwartet stabile Milchpreise site:faz.net","SEARCH","http://www.google.de/search?q=Bauernverband+erwartet+stabile+Milchpreise+site%3Afaz.net&num=5","140",,"Bauernverband erwartet stabile Milchpreise. Gut 40 Cent pro Kilogramm: Bauernverband erwartet stabile Milchpreise. Die Milchpreise stiegen unter dem Druck des ...","https://www.faz.net › aktuell › wirtschaft › thema › bau...","Bauernverband erwartet stabile Milchpreise","Bauernverband erwartet stabile Milchpreise","Milchpreise",,,"2","Bauernlobby aktuell: News der FAZ zum Bauernverband","organic","https://www.faz.net/aktuell/wirtschaft/thema/bauernlobby",,,,,
"DE","DESKTOP","google.de",,,"1","5","Bauernverband erwartet stabile Milchpreise site:faz.net","SEARCH","http://www.google.de/search?q=Bauernverband+erwartet+stabile+Milchpreise+site%3Afaz.net&num=5","140",,"Bauern ziehen am Montag nach Paris. Proteste ... Bauernverband erwartet stabile Milchpreise. Gut 40 Cent pro Kilogramm: Bauernverband erwartet stabile Milchpreise.","https://www.faz.net › aktuell › wirtschaft › thema › milch","Bauernverband erwartet stabile Milchpreise","Bauernverband erwartet stabile Milchpreise",,,,"3","Milch: News der FAZ zu Milchpreisen und Milchmarkt","organic","https://www.faz.net/aktuell/wirtschaft/thema/milch",,,,,
"DE","DESKTOP","google.de",,,"1","5","Bauernverband erwartet stabile Milchpreise site:faz.net","SEARCH","http://www.google.de/search?q=Bauernverband+erwartet+stabile+Milchpreise+site%3Afaz.net&num=5","140","2024-05-01T12:00:00.000Z","Bauernverband erwartet stabile Milchpreise. Der Bauernverband will sich gegen eine solche Vereinnahmung wehren. „Wir distanzieren uns ...","https://www.faz.net › FAZ.NET › Rhein-Main","Bauernverband erwartet stabile Milchpreise","Bauernverband",,,,"4","Bauernprotest in Hessen: Querdenker wollen ...","organic","https://www.faz.net/aktuell/rhein-main/bauernprotest-in-hessen-querdenker-wollen-demonstration-fuer-sich-nutzen-19428396.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie man Landwirte unter Strom setzt site:faz.net","SEARCH","http://www.google.de/search?q=Wie+man+Landwirte+unter+Strom+setzt+site%3Afaz.net&num=5","2920","2024-03-01T12:00:00.000Z","Keine Frage, die Landwirte stehen unter Strom. Und beim Blick in die Zukunft wird vielen nicht eben warm ums Herz. Klimaschutz macht nicht satt, ...","https://www.faz.net › FAZ.NET › Wissen › Erde & Klima","Landwirte","unter Strom",,,,"1","Brauchen wir Agrardiesel für die Welternährung?","organic","https://www.faz.net/aktuell/wissen/erde-klima/landwirtschaft-brauchen-wir-agrardiesel-fuer-die-welternaehrung-19413146.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie man Landwirte unter Strom setzt site:faz.net","SEARCH","http://www.google.de/search?q=Wie+man+Landwirte+unter+Strom+setzt+site%3Afaz.net&num=5","2920","2024-03-01T12:00:00.000Z","Wie man Landwirte unter Strom setzt · Unterschiede und Ähnlichkeiten. Wo fängt das Land an, wo hört die Stadt auf? Agrarkürzungen. Was für die ...","https://www.faz.net › FAZ.NET › Wirtschaft","Wie man Landwirte unter Strom setzt",,,,,"2","Bauern wollen weiter gegen Agrarkürzungen demonstrieren","organic","https://www.faz.net/aktuell/wirtschaft/bauern-wollen-weiter-demonstrieren-unmut-ueber-agrarkuerzungen-19423591.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie man Landwirte unter Strom setzt site:faz.net","SEARCH","http://www.google.de/search?q=Wie+man+Landwirte+unter+Strom+setzt+site%3Afaz.net&num=5","2920","2024-01-15T12:00:00.000Z","Es sind viele Einzelschritte – von höherer Produktivität über bessere Züchtung bis zu mehr Tiergesundheit. Die UN-Welternährungsorganisation ...","https://www.faz.net › FAZ.NET › Wirtschaft",,,,,,"3","Wie die Landwirtschaft das Klima schonen kann","organic","https://www.faz.net/aktuell/wirtschaft/wie-die-landwirtschaft-das-klima-schonen-kann-19394728.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie man Landwirte unter Strom setzt site:faz.net","SEARCH","http://www.google.de/search?q=Wie+man+Landwirte+unter+Strom+setzt+site%3Afaz.net&num=5","2920","2024-08-01T12:00:00.000Z","Wie man Landwirte unter Strom setzt · Sparpläne der Regierung. Bauern wollen weiter gegen Agrarkürzungen demonstrieren · Aufgebrachte Landwirte.","https://www.faz.net › FAZ.NET › Wirtschaft","Wie man Landwirte unter Strom setzt","Landwirte",,,,"4","Landwirte haben zuletzt so gut verdient wie lange nicht","organic","https://www.faz.net/aktuell/wirtschaft/bauernproteste-landwirte-haben-zuletzt-so-gut-verdient-wie-lange-nicht-19428810.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie verbreitet ist die Bio-Landwirtschaft bislang? site:faz.net","SEARCH","http://www.google.de/search?q=Wie+verbreitet+ist+die+Bio-Landwirtschaft+bislang%3F+site%3Afaz.net&num=5","240","2023-12-29T12:00:00.000Z","Wie verbreitet ist die Bio-Landwirtschaft bislang? 29.12.2023, 15:39 ... Die Politik setzt auf eine schnellere Ausdehnung der Bio-Landwirtschaft.","https://www.faz.net › FAZ.NET › Spiele › News-Quiz","Wie verbreitet ist die Bio","Landwirtschaft bislang","Bio","Landwirtschaft",,"1","Testen Sie Ihr Wissen zu den Nachrichten vom 29. Dezember","organic","https://www.faz.net/aktuell/spiele/news-quiz/news-quiz-der-faz-testen-sie-ihr-wissen-zu-den-nachrichten-vom-29-dezember-19415011.html",,,,,
"DE","DESKTOP","google.de",,,"1","5","Wie verbreitet ist die Bio-Landwirtschaft bislang? site:faz.net","SEARCH","http://www.google.de/search?q=Wie+verbreitet+ist+die+Bio-Landwirtschaft+bislang%3F+site%3Afaz.net&num=5","240","2013-02-20T12:00:00.000Z","Der Bio-Markt gilt als als Wachstumsmarkt. Trotzdem sind in den vergangenen Jahren viele Bauern zum konventionellen Anbau zurückgekehrt.","https://www.faz.net › FAZ.NET › Gesellschaft › Umwelt","Bio",,,,,"2","Landwirtschaft: Abkehr vom Bio-Boom","organic","https://www.faz.net/aktuell/gesellschaft/umwelt/landwirtschaft-abkehr-vom-bio-boom-12087912.html",,,,,
